id,account,preferenceType,preferenceValue
1,abdelmegid.i,1,12
2,salem.rs,1,12
3,osman.mm,1,13,22,9,10,8,24,30,23,32
4,hassan.hy,1,13,9,10,8,15,7
5,yasser.m,1,12,11
6,ibrahim.bn,1,31
7,alrashiedy.si,1,21
8,abouelseoud.ma,1,16
9,oweda.ma,1,10
10,medhat.am,1,
11,moftah.s,1,6
12,elsisy.aa,1,
13,elhadidi.my,1,
14,ibrahim.e,1,10,21
15,bakr.hm,1,11
16,abdelmalek.s,1,13
17,khattab.a,1,26,11
18,elsayed.hh,1,30
19,nasry.ss,1,27,30,23,15,19,32,6,33,7,31
20,ali.bb,1,10,19,21,6
21,ahmed.k.3,1,11
22,mohamed.ma.6,1,33
23,zarif.a,1,31
24,shohib.ss,1,10
25,dawood.m.1,1,15
26,micheal.m,1,
27,mahmoud.ia,1,33
29,hanafy.s.1,1,30
30,ahmed.a.1,1,9,8,20
31,ramadan.m.1,1,10,21
32,aly.hs,1,
33,alisaad.ki,1001,Y
34,shaker.mm,1,12,27,45,30,32
35,saad.am.2,1,12,25
36,mabrouk.ya,1,10
37,ahmed.mm,1,
38,meqdam.ma,1,10
39,amer.a,1,13
40,tahseen.mm,1,10
41,sobhy.m,1,30
42,ragab.a,1,11
43,abdelrahman.aa,1,10
