EquipmentID,EquipmentName,hidden,areaid,lineid
1,-N/A-,N,6,7,10,11,12,13,15,27,30,31,32,33,34,45,47,
2,Boiler,N,7,
3,Compressor,N,7,
4,,N,6,7,10,11,12,13,15,27,30,31,32,33,34,45,47,
5,Amalgamator,N,12,
6,Roll Mill,N,12,25,
7,Plodder,N,12,25,
8,Cutter,N,12,25,
9,Stamper,N,12,25,
10,ACMA,N,12,
11,Flow-Wrapper,N,12,25,
12,Bundler,N,12,25,
13,HSE,N,34,
14,Mill House,N,11,26,
15,Area 1,N,11,
16,Area 2,N,11,26,
17,Optima,N,11,26,
18,Stacker,N,11,26,
19,Diverter,N,11,25,26,
20,BC line 11,Y,,
21,BC Line 12,Y,,
22,BC line 14,Y,,
23,Off line,N,16,28,
24,CS10,N,16,
25,BC area 1,N,16,28,
26,BC area 2,N,16,28,
27,BC area 3,N,16,28,
28,BC area 4,N,16,28,
29,UVA 1,N,10,21,
30,UVA 2,N,10,21,
31,UVA 3,N,10,21,
32,UVA 4,N,10,21,
33,UVA 5,N,10,21,
34,UVA 6,N,10,21,
35,UVA 7,N,10,21,
36,UVA 8,N,10,21,
37,End of line,N,28,
38,OZON generator,N,23,30,
39,Pitez machine,N,23,30,
40,Nitrogen Generator,N,23,30,
41,Mixing tank,N,23,30,
42,Movable tanks,N,23,30,
43,HPP,N,8,20,
44,Booster Pump,N,8,20,
45,Bottom Pump,N,8,20,
46,High pressure air compressor,N,8,20,
47,Hold tank,N,8,20,
48,Drop tank,N,8,20,
49,tower belt,N,8,20,
50,Airlift Tube,N,45,
51,Crutcher,N,8,20,
52,Remelt tank,N,13,
53,Convay system,N,8,20,
54,Nozzles level 1,N,13,
55,Nozzles level 2,N,13,
56,Nozzles level 3,N,13,
57,Duct burner,N,8,20,
58,Process fan,N,13,
59,Exhaust Fan,N,8,20,
60,Cyclone 1,N,8,20,
61,Cyclone 2,N,8,20,
62,Cyclone 3,N,8,20,
63,Cyclone 4,N,8,20,
64,HLAS tank1,N,8,20,
65,HLAS tank2,N,8,20,
66,Caustic Soda tank 1,N,8,20,
67,Caustic Soda tank 2,N,8,20,
68,Silicate tank 1,N,8,20,
69,Silicate tank 2,N,8,20,
70,Hot water tank,N,8,20,
71,RV base tank 1,N,13,
72,RV base tank 2,N,13,
73,Dobanol tank 1,N,8,20,
74,Dobanol tank 2,Y,,
75,KDB base tank,N,13,
76,Gravety Separator,N,9,20,
77,airlift filter,N,45,
78,Mixing dust filter,N,13,
79,PWS,N,13,
80,denisty station,N,9,20,
81,SEA 1,N,9,20,
82,SEA 2,N,9,20,
83,SEA 3,N,9,20,
84,SEA 4,N,9,20,
85,STPP bin,N,9,20,
86,Carbonate bin,N,9,20,
87,citric acid bin,N,9,20,
88,PC3 bin,N,13,
89,NOBS bin,N,13,
90,Enzyme filter ,N,9,20,
91,Enzyme bin,N,9,20,
92,additive belt,N,45,
93,LIW,N,13,
94,FP storage bin,N,20,
95,base powder bin,N,9,20,
96,Perfume tanks,N,13,
97,Dust filter,N,9,20,
98,EOLA,N,10,21,
99,C.T,N,10,21,
100,Elevator,N,10,21,
101,N/A,N,6,7,8,9,10,11,12,13,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
102,1000 meter area,N,34,
103,Offices,N,34,
104,Miele machine 1,N,10,21,
105,Miele machine 2,N,10,21,
106,Miele machine 3,N,10,21,
108,Scrap Yard,N,47,
107,Miele machine 4,N,10,21,
